entities,created_at,id,author_id,lang,edit_history_tweet_ids,text,context_annotations,retweet_count,reply_count,like_count,quote_count
"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/c7hQe7UsU0', 'expanded_url': 'https://x.com/jacksonhinklle/status/1909441067910676598/video/1', 'display_url': 'pic.x.com/c7hQe7UsU0', 'media_key': '7_1909379059613679616'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'jacksonhinklle', 'id': '1151913018936053760'}], 'annotations': [{'start': 26, 'end': 32, 'probability': 0.9312, 'type': 'Place', 'normalized_text': 'Tunisia'}, {'start': 46, 'end': 54, 'probability': 0.8791, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:17.000Z,1909452461921775972,1805681211370508288,en,['1909452461921775972'],RT @jacksonhinklle: 🇹🇳 🇵🇸 Tunisia STANDS with Palestine! https://t.co/c7hQe7UsU0,"[{'domain': {'id': '13', 'name': 'Place', 'description': 'Named places in the world, like Fenway Park'}, 'entity': {'id': '1180055828675514368', 'name': 'Tunisia (تونس)'}}]",59,0,0,0
"{'mentions': [{'start': 3, 'end': 13, 'username': 'Kahlissee', 'id': '848279118'}], 'annotations': [{'start': 36, 'end': 48, 'probability': 0.9794, 'type': 'Person', 'normalized_text': 'Ahmed Mansour'}, {'start': 72, 'end': 80, 'probability': 0.7924, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:17.000Z,1909452461368033683,39750913,en,['1909452461368033683'],"RT @Kahlissee: BREAKING: Journalist Ahmed Mansour, a correspondent for “Palestine Today” has succumbed to his wounds and died just moments…","[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074755369530880001', 'name': 'Journalists', 'description': 'Journalism'}}]",535,0,0,0
"{'mentions': [{'start': 0, 'end': 9, 'username': 'ZaqoutMe', 'id': '2453630404'}], 'annotations': [{'start': 43, 'end': 51, 'probability': 0.8214, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:16.000Z,1909452459753587174,1817729970489470976,en,['1909452459753587174'],@ZaqoutMe Damn the homicidal Zionist. Free Palestine 🇵🇸🇵🇸,,0,0,0,0
"{'mentions': [{'start': 0, 'end': 10, 'username': 'HenMazzig', 'id': '1686270312'}], 'annotations': [{'start': 18, 'end': 26, 'probability': 0.8597, 'type': 'Place', 'normalized_text': 'Palestine'}, {'start': 66, 'end': 74, 'probability': 0.9444, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:16.000Z,1909452456167154022,1562297155,en,['1909452456167154022'],"@HenMazzig "" Free Palestine"" . it's from the river to the sea and Palestine shall be free from the bigots",,0,0,0,0
"{'mentions': [{'start': 3, 'end': 18, 'username': 'WearThePeaceCo', 'id': '776652964798824448'}], 'annotations': [{'start': 31, 'end': 43, 'probability': 0.9784, 'type': 'Person', 'normalized_text': 'Ahmed Mansour'}, {'start': 76, 'end': 79, 'probability': 0.9007, 'type': 'Place', 'normalized_text': 'Gaza'}, {'start': 89, 'end': 97, 'probability': 0.7941, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:15.000Z,1909452455458337244,1187403407964942338,en,['1909452455458337244'],"RT @WearThePeaceCo: Journalist Ahmed Mansour, a correspondent for the local Gaza agency “Palestine Today” has succumbed to his wounds and d…","[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074755369530880001', 'name': 'Journalists', 'description': 'Journalism'}}]",190,0,0,0
"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/LcvLMtwNP3', 'expanded_url': 'https://x.com/jacksonhinklle/status/1908874836166013074/video/1', 'display_url': 'pic.x.com/LcvLMtwNP3', 'media_key': '7_1908840919400378368'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'jacksonhinklle', 'id': '1151913018936053760'}], 'annotations': [{'start': 46, 'end': 54, 'probability': 0.8896, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:14.000Z,1909452448814576050,946735110,en,['1909452448814576050'],RT @jacksonhinklle: 🇵🇸🇲🇦 Moroccans STAND with Palestine! https://t.co/LcvLMtwNP3,,1116,0,0,0
"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/EAkXNH53yk', 'expanded_url': 'https://x.com/aldamu_jo/status/1909129393139507301/video/1', 'display_url': 'pic.x.com/EAkXNH53yk', 'media_key': '7_1909128832105201664'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'aldamu_jo', 'id': '1168233995945033728'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.3604, 'type': 'Organization', 'normalized_text': 'Celtic'}, {'start': 41, 'end': 49, 'probability': 0.7855, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:14.000Z,1909452447803998640,1511709588437225472,en,['1909452447803998640'],"RT @aldamu_jo: Celtic ☘️Supporters, Free Palestine 🇵🇸 https://t.co/EAkXNH53yk","[{'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '731226212824023040', 'name': 'Celtic FC'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '731226212824023040', 'name': 'Celtic FC'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '733756536430809088', 'name': 'Soccer'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}]",2099,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'DropSiteNews', 'id': '1776269230159147008'}], 'annotations': [{'start': 38, 'end': 50, 'probability': 0.9797, 'type': 'Person', 'normalized_text': 'Ahmad Mansour'}, {'start': 56, 'end': 64, 'probability': 0.9113, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:13.000Z,1909452444737646882,3681354315,en,['1909452444737646882'],RT @DropSiteNews: JUST IN: Journalist Ahmad Mansour for Palestine Today has succumbed to severe burns sustained during the Israeli airstrik…,"[{'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840159122012102656', 'name': 'Political News', 'description': 'Political News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074755369530880001', 'name': 'Journalists', 'description': 'Journalism'}}]",220,0,0,0
"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/ftSB9T7JBT', 'expanded_url': 'https://x.com/SayfAlqudss/status/1909452443642962227/video/1', 'display_url': 'pic.x.com/ftSB9T7JBT', 'media_key': '3_1909452352928509952'}, {'start': 92, 'end': 115, 'url': 'https://t.co/ftSB9T7JBT', 'expanded_url': 'https://x.com/SayfAlqudss/status/1909452443642962227/video/1', 'display_url': 'pic.x.com/ftSB9T7JBT', 'media_key': '7_1909452352991465472'}], 'annotations': [{'start': 23, 'end': 43, 'probability': 0.7181, 'type': 'Place', 'normalized_text': 'Grand central station'}, {'start': 70, 'end': 78, 'probability': 0.899, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:13.000Z,1909452443642962227,1829594577193332736,en,['1909452443642962227'],The police presence at Grand central station after being shut down by Palestine protesters. https://t.co/ftSB9T7JBT,,0,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'swilkinsonbc', 'id': '4249826728'}], 'annotations': [{'start': 30, 'end': 42, 'probability': 0.9548, 'type': 'Person', 'normalized_text': 'Ahmad Mansour'}, {'start': 58, 'end': 69, 'probability': 0.4183, 'type': 'Place', 'normalized_text': 'Palestine TV'}]}",2025-04-08T03:45:12.000Z,1909452442921500969,1716186311537590273,en,['1909452442921500969'],RT @swilkinsonbc: His name is Ahmad Mansour; he works for Palestine TV: the israelis bombed his tent directly leaving him too critical to s…,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840159122012102656', 'name': 'Political News', 'description': 'Political News'}}]",386,0,0,0
"{'mentions': [{'start': 0, 'end': 14, 'username': 'AJA_Palestine', 'id': '1505878911669964804'}]}",2025-04-08T03:45:12.000Z,1909452439633195501,1633191690381975552,ar,['1909452439633195501'],@AJA_Palestine لأنها انهزمت,,0,0,0,0
"{'mentions': [{'start': 0, 'end': 15, 'username': 'KhaledEljuhani', 'id': '2456580182'}]}",2025-04-08T03:45:11.000Z,1909452437506715735,808928453005287424,ca,['1909452437506715735'],"@KhaledEljuhani يا شباب العالم✅

وقفة حق إنسانية مع الحق،وفلسطين

عطلوا لهم إلكترونيًا💥أنظمةالكهرباء=نصر وتمكين فلسطين فوراً

Oh, youth of the world✅🌹

A humane stand with justice and Palestine.
Disrupt their electrical systems electronically=immediate victory and empowerment for Palestine",,0,0,0,0
"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/Way1sOec8D', 'expanded_url': 'https://x.com/Tufan_ALaqssa/status/1909452433153052688/video/1', 'display_url': 'pic.x.com/Way1sOec8D', 'media_key': '3_1909452261136166912'}, {'start': 92, 'end': 115, 'url': 'https://t.co/Way1sOec8D', 'expanded_url': 'https://x.com/Tufan_ALaqssa/status/1909452433153052688/video/1', 'display_url': 'pic.x.com/Way1sOec8D', 'media_key': '7_1909452261140361216'}], 'annotations': [{'start': 23, 'end': 43, 'probability': 0.7181, 'type': 'Place', 'normalized_text': 'Grand central station'}, {'start': 70, 'end': 78, 'probability': 0.899, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:10.000Z,1909452433153052688,1716318219080777728,en,['1909452433153052688'],The police presence at Grand central station after being shut down by Palestine protesters. https://t.co/Way1sOec8D,,0,0,0,0
"{'mentions': [{'start': 0, 'end': 11, 'username': 'nicksortor', 'id': '2162812627'}], 'annotations': [{'start': 116, 'end': 124, 'probability': 0.9533, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:10.000Z,1909452433111367725,1387238500253065216,en,['1909452433111367725'],"@nicksortor Pull ten ICE buses up out front and EVERYONE gets checked for status 

Anyone illegal is dropped off in Palestine",,0,0,0,0
"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/a6kPL7THt1', 'expanded_url': 'https://x.com/jacksonhinklle/status/1908919881275470083/video/1', 'display_url': 'pic.x.com/a6kPL7THt1', 'media_key': '7_1908841963635318784'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'jacksonhinklle', 'id': '1151913018936053760'}], 'annotations': [{'start': 36, 'end': 41, 'probability': 0.4897, 'type': 'Other', 'normalized_text': 'SWEDEN'}]}",2025-04-08T03:45:09.000Z,1909452429428391979,1292280801606934533,en,['1909452429428391979'],"RT @jacksonhinklle: 🇵🇸 🇸🇪 THANK YOU SWEDEN!

WE ALL STAND WITH PALESTINE! https://t.co/a6kPL7THt1",,4438,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'BeckettUnite', 'id': '1088371662108676096'}], 'annotations': [{'start': 18, 'end': 35, 'probability': 0.9656, 'type': 'Person', 'normalized_text': 'Francesca Albanese'}, {'start': 116, 'end': 119, 'probability': 0.958, 'type': 'Place', 'normalized_text': 'Gaza'}]}",2025-04-08T03:45:09.000Z,1909452428963139814,93591008,en,['1909452428963139814'],"RT @BeckettUnite: Francesca Albanese once again nails it:

‘The reality is a genocide has been allowed to happen in Gaza 🇵🇸 because western…",,5004,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'SilentlySirs', 'id': '1711926993065857025'}], 'annotations': [{'start': 30, 'end': 35, 'probability': 0.9436, 'type': 'Place', 'normalized_text': 'Canada'}, {'start': 61, 'end': 69, 'probability': 0.8907, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:09.000Z,1909452427935330565,963004820620824576,en,['1909452427935330565'],"RT @SilentlySirs: 🇨🇦🔴 URGENT:
Canada has officially removed “Palestine” from its list of recognized countries on official documents and pas…",,1772,0,0,0
"{'mentions': [{'start': 3, 'end': 17, 'username': 'MintPressNews', 'id': '414962189'}], 'annotations': [{'start': 19, 'end': 23, 'probability': 0.6245, 'type': 'Place', 'normalized_text': 'Saudi'}, {'start': 62, 'end': 66, 'probability': 0.9477, 'type': 'Place', 'normalized_text': 'Mecca'}, {'start': 95, 'end': 103, 'probability': 0.9272, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:08.000Z,1909452426022993945,2492987706,en,['1909452426022993945'],"RT @MintPressNews: Saudi police detain a Palestinian woman in Mecca for displaying the flag of Palestine

The woman explained that she was…",,230,0,0,0
"{'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/4dA7KW1Rpd', 'expanded_url': 'https://x.com/aldamu_jo/status/1909078395280834753/video/1', 'display_url': 'pic.x.com/4dA7KW1Rpd', 'media_key': '7_1909078323440816128'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'aldamu_jo', 'id': '1168233995945033728'}], 'annotations': [{'start': 55, 'end': 65, 'probability': 0.9683, 'type': 'Place', 'normalized_text': 'New Zealand'}, {'start': 96, 'end': 104, 'probability': 0.9439, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:06.000Z,1909452414723211265,1742541922906861569,en,['1909452414723211265'],"RT @aldamu_jo: Māori people , indigenous population of New Zealand , stands in solidarity  with Palestine 🇵🇸 https://t.co/4dA7KW1Rpd",,4453,0,0,0
"{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/b1lTfbcgts', 'expanded_url': 'https://x.com/Nermeenalswaisi/status/1909054665188065336/photo/1', 'display_url': 'pic.x.com/b1lTfbcgts', 'media_key': '3_1909054658376556544'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'Nermeenalswaisi', 'id': '3214536603'}]}",2025-04-08T03:45:05.000Z,1909452413616243149,1905591531912003587,en,['1909452413616243149'],"RT @Nermeenalswaisi: Can we get 3,000 people to reply with
“FREE PALESTINE”? 🇵🇸🍉 https://t.co/b1lTfbcgts",,316,0,0,0
"{'mentions': [{'start': 3, 'end': 13, 'username': 'aldamu_jo', 'id': '1168233995945033728'}], 'annotations': [{'start': 90, 'end': 93, 'probability': 0.956, 'type': 'Place', 'normalized_text': 'Gaza'}]}",2025-04-08T03:45:05.000Z,1909452411422622041,1788873076983386112,en,['1909452411422622041'],"RT @aldamu_jo: This girl is angry because no one is doing anything about this genocide in Gaza 🇵🇸

We beg you , stop it.

What do you want…",,1247,0,0,0
"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/EAkXNH53yk', 'expanded_url': 'https://x.com/aldamu_jo/status/1909129393139507301/video/1', 'display_url': 'pic.x.com/EAkXNH53yk', 'media_key': '7_1909128832105201664'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'aldamu_jo', 'id': '1168233995945033728'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.3604, 'type': 'Organization', 'normalized_text': 'Celtic'}, {'start': 41, 'end': 49, 'probability': 0.7855, 'type': 'Place', 'normalized_text': 'Palestine'}]}",2025-04-08T03:45:05.000Z,1909452410323660853,233210427,en,['1909452410323660853'],"RT @aldamu_jo: Celtic ☘️Supporters, Free Palestine 🇵🇸 https://t.co/EAkXNH53yk","[{'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '731226212824023040', 'name': 'Celtic FC'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '731226212824023040', 'name': 'Celtic FC'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '733756536430809088', 'name': 'Soccer'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}]",2099,0,0,0
"{'mentions': [{'start': 0, 'end': 11, 'username': 'yousef_ki1', 'id': '775714779830902784'}]}",2025-04-08T03:45:05.000Z,1909452409815867567,110157048,et,['1909452409815867567'],@yousef_ki1 Free Palestine,,0,0,0,0
